766,"Central Turnverein, Chicago",218
767,Galopin-20,71
768,Galopin-9,71
769,France-4,71
770,Berliner Ruderclub,81
771,Rhythm,218
772,"Turnverein Vorwrts, Chicago",218
773,Guanahani,17
774,Unknown,215
775,Spirit III,218
776,Pannonia RC/National RC,92
777,Bella,70
778,May-Be 1960,15
779,May Be,195
780,Inga-Lill XXXXIII,70
781,Mexico-1,132
782,Nirwana,81
783,Omilos Ereton Peiraios-2,83
784,Llanoria,218
785,Marmi II-1,152
786,Kitty-1,195
787,Vaxholm Roddklubb,195
788,Tuvalu,210
789,A North American Team,132
790,Nirefs,83
791,Proteus II,83
792,Finn II,70
793,Impala,172
794,Missouri Athletic Club-3,218
795,Pam,23
796,Oleander II,23
797,Apache,152
798,Roklubb Kbnhavn-2,57
799,Tu-Fri,70
800,Tutti V,66
801,Cha-Cha III,229
802,Augsburg,102
803,Leander Club #2-2,76
804,Ariel,38
805,Encore,152
806,Feo,76
807,Seawanhaka Boat Club-1,218
808,Gem II,76
809,Gem III,17
810,Gem IV,17
811,Gem VII,17
812,Pupilles de Neptune de Lille #1-3,71
813,Chaje II,70
814,Ludwigshafener Ruder Verein-1,81
815,Leander Club #1-1,76
816,Dylan-2,76
817,Moorina,14
818,30. Februar,15
819,Cercle Nautique de Reims-4,71
820,Cuba-2,54
821,Struten,152
822,Gyrinus-1,76
823,Ylliam II,192
824,East Germany-3,78
825,Paka V,81
826,Brigantia,15
827,Sydney Rowing Club,9
828,Espardate,165
829,Australia/Great Britain,14
830,Kannibaltje,71
831,Milwaukee Athletic Club-1,218
832,Xantippa,70
833,Skum,57
834,Miss Denmark 1964,57
835,Kemphaan,147
836,Helsingfors R. K.,70
837,Newfoundland,149
838,Emily,76
839,Fram III,152
840,Mizar,10
841,Ubu,21
842,St. Louis Southwest Turnverein #2-3,218
843,"Socialer Turnverein, Detroit",218
844,Bohemia-1,28
845,Essen,106
846,Miss Nippon V,106
847,Argeste,102
848,Gullvinge,10
849,United States-4,218
850,South Korea-1,111
851,Bajazzo,217
852,Cinara-13,71
853,Ilderim,195
854,Tantalus,81
855,Peiraikos Syndesmos-2,83
856,Baby-9,71
857,Baby-1,71
858,Femur-18,71
859,Femur-1,71
860,Kosovo,112
861,Colette-10,71
862,Colette-12,71
863,Germany/United States,218
